query	subject	evalue	coverage	pratio	score	qLen	sLen	qCoverage	sCoverage	defLine
Gorai.006G075700.1	AT5G18610.1	0.0	0.997078870496592	1.00194931773879	795	514	513	0.998054474708171	0.998050682261209	Protein kinase superfamily protein
Gorai.002G267400.1	AT2G38420.1	1e-131	0.964630225080386	1.05960264900662	379	480	453	0.9375	1	Pentatricopeptide repeat (PPR) superfamily protein
Gorai.001G053300.1	AT5G51060.1	0.0	0.977924944812362	1.00220994475138	1262	907	905	0.986769570011025	0.979005524861878	NADPH/respiratory burst oxidase protein D
Gorai.011G237100.1	AT2G39140.1	0.0	0.888077858880779	1.00487804878049	509	412	410	0.895631067961165	0.890243902439024	pseudouridine synthase family protein
Gorai.009G454200.1	AT5G56120.1	2e-95	0.96943231441048	0.940677966101695	275	222	236	1	1	
Gorai.005G176600.1	AT3G26380.1	0.0	0.975875486381323	0.986089644513138	871	638	647	0.982758620689655	0.970633693972179	Melibiase family protein
Gorai.002G007400.1	AT1G49620.1	8e-25	0.515463917525773	0.98974358974359	92.7	193	195	0.518134715025907	0.548717948717949	Cyclin-dependent kinase inhibitor family protein
Gorai.010G143700.1	AT3G42860.1	7e-19	0.384057971014493	0.483870967741935	79.8	180	372	0.588888888888889	0.327956989247312	zinc knuckle (CCHC-type) family protein
Gorai.009G375500.1	AT3G15180.2	0.0	0.963720930232558	0.950998185117967	621	524	551	0.988549618320611	1	ARM repeat superfamily protein
Gorai.013G113700.1	AT5G17630.1	0.0	0.971291866028708	1.00479616306954	546	419	417	0.98090692124105	0.973621103117506	Nucleotide/sugar transporter family protein
Gorai.009G125600.1	AT1G80630.1	1e-167	0.961739130434783	0.98961937716263	478	572	578	0.998251748251748	0.956747404844291	RNI-like superfamily protein
Gorai.004G264500.1	AT1G65450.1	0.0	0.996662958843159	0.997777777777778	596	449	450	0.997772828507795	0.997777777777778	HXXXD-type acyl-transferase family protein
Gorai.002G013300.1	AT5G64090.1	1e-170	0.915062287655719	0.970982142857143	478	435	448	0.931034482758621	0.901785714285714	
Gorai.002G084300.1	AT5G54790.1	1e-16	0.967741935483871	1.06666666666667	70.5	176	165	1	1	
Gorai.009G357700.1	AT3G12910.1	1e-100	0.94195688225539	0.99009900990099	292	300	303	0.946666666666667	0.940594059405941	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
Gorai.009G209200.1	AT2G26530.1	7e-82	0.920118343195266	1.13249211356467	247	359	317	0.924791086350975	0.981072555205047	Protein of unknown function (DUF1645)
Gorai.007G210600.1	AT3G50520.1	1e-114	0.872865275142315	1.29130434782609	325	297	230	0.804713804713805	1	Phosphoglycerate mutase family protein
Gorai.006G011800.1	AT5G15450.1	0.0	0.954779033915725	1.0103305785124	1685	978	968	0.952965235173824	0.959710743801653	casein lytic proteinase B3
Gorai.001G194200.1	AT3G07870.1	1e-175	0.915576694411415	1.01678657074341	491	424	417	0.908018867924528	0.932853717026379	F-box and associated interaction domains-containing protein
Gorai.002G162300.1	AT2G37010.1	0.0	0.9875173370319	0.999075785582255	1515	1081	1082	0.993524514338575	0.987060998151571	non-intrinsic ABC protein 12
Gorai.012G014600.1	AT5G05270.1	4e-98	0.990430622009569	1	281	209	209	0.990430622009569	0.995215311004785	Chalcone-flavanone isomerase family protein
Gorai.005G137000.1	AT4G32175.1	1e-135	0.997920997920998	0.995850622406639	378	240	241	1	0.995850622406639	PNAS-3 related
Gorai.001G232400.1	AT3G25070.1	2e-51	0.867368421052632	1.25118483412322	163	264	211	0.977272727272727	0.976303317535545	RPM1 interacting protein 4
Gorai.004G170600.1	AT5G52820.1	0.0	0.984193888303477	1.00634249471459	821	476	473	0.983193277310924	0.987315010570824	WD-40 repeat family protein / notchless protein, putative
Gorai.006G237300.1	AT3G05980.1	3e-57	0.839756592292089	1.01224489795918	178	248	245	0.850806451612903	0.844897959183673	
Gorai.011G081600.1	AT1G80180.1	3e-36	0.966292134831461	0.934782608695652	119	129	138	1	1	
Gorai.008G007900.1	AT4G03110.1	0.0	0.95096921322691	0.988662131519274	605	436	441	0.965596330275229	0.945578231292517	RNA-binding protein-defense related 1
Gorai.013G138700.1	AT1G72100.1	5e-97	0.987654320987654	1.025	293	492	480	1	1	late embryogenesis abundant domain-containing protein / LEA domain-containing protein
Gorai.003G048000.1	AT2G21860.1	0.0	0.874646559849199	1.03256704980843	730	539	522	0.888682745825603	0.888888888888889	violaxanthin de-epoxidase-related
Gorai.007G299500.1	AT1G09090.2	0.0	0.961204400694847	1.04863582443654	1227	884	843	0.959276018099548	0.984578884934757	respiratory burst oxidase homolog B
Gorai.013G033600.1	AT2G16440.1	0.0	0.995255041518387	0.990554899645809	1331	839	847	1	1	Minichromosome maintenance (MCM2/3/5) family protein
Gorai.009G082200.1	AT5G22070.1	1e-178	0.993045897079277	0.986187845303867	494	357	362	1	1	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
Gorai.001G050900.1	AT3G06530.2	0.0	0.993592677345538	0.987266939517963	2056	2171	2199	1	1	ARM repeat superfamily protein
Gorai.005G217100.1	AT4G38250.1	0.0	0.976958525345622	0.990825688073395	604	432	436	0.981481481481482	0.986238532110092	Transmembrane amino acid transporter family protein
Gorai.005G082700.1	AT1G21480.1	0.0	0.989082969432314	0.982683982683983	736	454	462	0.997797356828194	0.989177489177489	Exostosin family protein
Gorai.011G133500.1	AT5G22480.1	0.0	0.968781470292044	1.01419878296146	781	500	493	0.966	0.975659229208925	ZPR1 zinc-finger domain protein
Gorai.003G027700.1	AT4G24204.3	3e-40	0.960227272727273	0.97752808988764	131	174	178	0.971264367816092	0.949438202247191	RING/U-box superfamily protein
Gorai.010G208900.1	AT2G19280.1	0.0	0.879588839941263	0.965367965367965	635	669	693	0.895366218236173	0.864357864357864	Pentatricopeptide repeat (PPR) superfamily protein
Gorai.005G028100.1	AT4G13850.1	4e-50	0.79734219269103	0.905063291139241	155	143	158	0.839160839160839	0.759493670886076	glycine-rich RNA-binding protein 2
Gorai.002G054600.1	AT3G14890.1	1e-143	0.613233923578751	0.546109510086455	413	379	694	0.868073878627968	0.520172910662824	phosphoesterase
Gorai.001G107300.1	AT2G28630.1	0.0	0.951167728237792	0.978991596638655	731	466	476	0.96137339055794	0.957983193277311	3-ketoacyl-CoA synthase 12
Gorai.011G086500.1	AT5G14100.1	1e-128	0.98372513562387	0.989208633093525	360	275	278	0.989090909090909	0.989208633093525	non-intrinsic ABC protein 14
Gorai.001G065100.1	AT5G23060.1	0.0	0.941624365482233	1.03617571059432	515	401	387	0.932668329177057	0.958656330749354	calcium sensing receptor
Gorai.008G268400.1	AT5G52990.1	2e-67	0.9812734082397	0.963235294117647	206	262	272	1	1	SNARE-like superfamily protein
Gorai.013G052200.1	AT2G16270.1	2e-47	0.48206599713056	0.836627140974967	172	635	759	0.529133858267717	0.446640316205534	
Gorai.009G006500.1	AT4G30310.2	0.0	0.94641384995878	1.09499136442142	998	634	579	0.905362776025237	1	FGGY family of carbohydrate kinase
Gorai.007G357400.1	AT5G66010.1	1e-130	0.982658959537572	1.03529411764706	365	264	255	1	1	RNA-binding (RRM/RBD/RNP motifs) family protein
Gorai.005G110900.1	AT4G16310.1	0.0	0.814639905548996	1.08108108108108	1506	1760	1628	0.800568181818182	0.847665847665848	LSD1-like 3
Gorai.008G191600.1	AT5G62550.1	9e-56	0.637951105937136	0.763860369609856	183	372	487	0.744623655913978	0.562628336755647	
Gorai.009G454000.1	AT5G56110.1	1e-120	0.521341463414634	1.05	345	336	320	0.508928571428571	0.534375	myb domain protein 103
Gorai.009G032900.1	AT5G57030.1	0.0	0.984962406015038	1.03053435114504	840	540	524	0.981481481481482	1	Lycopene beta/epsilon cyclase protein
Gorai.005G098400.1	AT3G12210.2	9e-94	0.952164009111617	1.10047846889952	270	230	209	0.934782608695652	1	DNA binding
Gorai.008G113200.1	AT3G60730.1	0.0	0.960707269155206	0.961464354527938	635	499	519	0.979959919839679	0.996146435452794	Plant invertase/pectin methylesterase inhibitor superfamily
Gorai.008G144500.1	AT1G02816.1	4e-70	0.868263473053892	1.01204819277108	207	168	166	0.863095238095238	0.897590361445783	Protein of unknown function, DUF538
Gorai.004G048800.1	AT1G66180.1	0.0	0.910329171396141	1.04883720930233	618	451	430	0.906873614190687	0.932558139534884	Eukaryotic aspartyl protease family protein
Gorai.002G117100.1	AT5G42310.1	0.0	0.913475177304965	0.988716502115656	1020	701	709	0.918687589158345	0.908321579689704	Pentatricopeptide repeat (PPR-like) superfamily protein
Gorai.001G189300.1	AT5G48290.1	4e-23	0.56271186440678	0.629834254143646	86.0	114	181	0.728070175438597	0.458563535911602	Heavy metal transport/detoxification superfamily protein
Gorai.005G135100.1	AT5G58210.3	2e-19	0.156862745098039	0.878947368421053	84.6	334	380	0.167664670658683	0.147368421052632	hydroxyproline-rich glycoprotein family protein
Gorai.009G432600.1	AT3G54470.1	0.0	0.996838777660696	0.993697478991597	791	473	476	1	0.997899159663866	uridine 5'-monophosphate synthase / UMP synthase (PYRE-F) (UMPS)
Gorai.012G131800.1	AT1G11900.1	1e-100	0.743083003952569	1.06811989100817	296	392	367	0.719387755102041	0.782016348773842	Tetratricopeptide repeat (TPR)-like superfamily protein
Gorai.003G034900.1	AT5G65685.1	0.0	0.685217391304348	1.5	528	690	460	0.584057971014493	0.856521739130435	UDP-Glycosyltransferase superfamily protein
Gorai.005G168400.1	AT1G27920.1	0.0	0.930890924229808	1.13701067615658	800	639	562	0.879499217527387	0.994661921708185	microtubule-associated protein 65-8
Gorai.013G203300.1	AT3G03900.1	1e-133	1	1	371	208	208	1	1	adenosine-5'-phosphosulfate (APS) kinase 3
Gorai.007G087800.1	AT3G15351.1	8e-80	0.996978851963746	1.00606060606061	231	166	165	0.993975903614458	1	
Gorai.004G145300.1	AT2G47210.1	0.0	0.975446428571429	1.03174603174603	680	455	441	0.997802197802198	0.990929705215419	myb-like transcription factor family protein
Gorai.011G002200.1	AT2G24400.1	5e-63	0.994350282485876	0.98876404494382	189	176	178	1	1	SAUR-like auxin-responsive protein family
Gorai.006G053400.1	AT5G19020.1	0.0	0.986019131714496	0.983941605839416	758	674	685	0.99406528189911	0.98978102189781	mitochondrial editing factor  18
Gorai.003G133300.1	AT1G06720.1	0.0	0.961587167581258	1.06538796861378	1378	1222	1147	0.990998363338789	0.993025283347864	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Gorai.009G358000.1	AT3G14400.1	0.0	0.683381088825215	1.11195158850227	586	735	661	0.648979591836735	0.763993948562784	ubiquitin-specific protease 25
Gorai.011G206500.1	AT2G40770.1	0.0	0.964150393471291	1.06189903846154	1970	1767	1664	0.946236559139785	0.993990384615385	zinc ion binding;DNA binding;helicases;ATP binding;nucleic acid binding
Gorai.001G122900.1	AT5G22350.1	0.0	0.989374262101535	0.983606557377049	655	420	427	0.997619047619048	0.997658079625293	Protein of unknown function (DUF1022)
Gorai.004G144200.1	AT3G62550.1	3e-67	0.941896024464832	1.01851851851852	199	165	162	0.933333333333333	0.950617283950617	Adenine nucleotide alpha hydrolases-like superfamily protein
Gorai.002G111500.1	AT1G76660.1	1e-176	0.925274725274725	1.11136890951276	494	479	431	0.983298538622129	0.976798143851508	
Gorai.007G300600.1	AT4G11420.1	0.0	0.994458438287154	1.01114488348531	1366	998	987	0.998997995991984	1	eukaryotic translation initiation factor 3A
Gorai.013G216100.1	AT5G57970.1	1e-174	0.942307692307692	1.09798270893372	485	381	347	0.900262467191601	0.99135446685879	DNA glycosylase superfamily protein
Gorai.009G441000.1	AT4G26910.1	0.0	0.98615548455804	1.02370689655172	639	475	464	1	0.997844827586207	Dihydrolipoamide succinyltransferase
Gorai.007G050700.1	AT4G36640.1	1e-150	0.967409948542024	0.982993197278912	420	289	294	0.975778546712803	0.972789115646258	Sec14p-like phosphatidylinositol transfer family protein
Gorai.009G086400.1	AT1G08280.1	1e-174	0.925443786982248	1.12311557788945	487	447	398	0.874720357941834	0.99748743718593	Glycosyltransferase family 29 (sialyltransferase) family protein
Gorai.004G071300.1	AT2G44850.1	1e-121	0.848400556328234	0.7975	347	319	400	0.956112852664577	0.7725	
Gorai.004G127700.1	AT1G33140.1	1e-123	1	1	345	194	194	1	1	Ribosomal protein L6 family
Gorai.013G130300.1	AT1G09280.1	0.0	0.950378469301934	1.04647160068847	798	608	581	0.996710526315789	0.972461273666093	
Gorai.001G229800.1	AT3G07360.1	0.0	0.998911860718172	0.997826086956522	594	459	460	1	1	plant U-box 9
Gorai.005G240200.1	AT2G15790.1	0.0	0.933852140077821	1.13573407202216	624	410	361	0.878048780487805	0.997229916897507	peptidyl-prolyl cis-trans isomerase / cyclophilin-40 (CYP40) / rotamase
Gorai.007G058400.1	AT5G65520.1	4e-78	0.808943089430894	1.38834951456311	232	286	206	0.702797202797203	0.966019417475728	Tetratricopeptide repeat (TPR)-like superfamily protein
Gorai.013G256700.1	AT1G08460.1	0.0	0.985468956406869	1.0079575596817	563	380	377	0.981578947368421	0.992042440318302	histone deacetylase 8
Gorai.011G166400.1	AT1G04210.1	0.0	0.983096085409253	1.02158273381295	1291	1136	1112	0.976232394366197	0.993705035971223	Leucine-rich repeat protein kinase family protein
Gorai.012G035300.1	AT4G33440.1	0.0	0.988505747126437	1.01473684210526	673	482	475	1	0.995789473684211	Pectin lyase-like superfamily protein
Gorai.009G160800.1	AT1G29280.1	4e-90	0.921641791044776	1.06949806949807	264	277	259	0.913357400722022	0.953667953667954	WRKY DNA-binding protein 65
Gorai.013G201200.1	AT3G04780.1	1e-111	0.991501416430595	1.00568181818182	313	177	176	0.988700564971751	0.994318181818182	Protein of unknown function (DUF1000)
Gorai.005G153400.1	AT1G14710.1	1e-175	0.855140186915888	1.13643926788686	502	683	601	0.833089311859444	0.913477537437604	hydroxyproline-rich glycoprotein family protein
Gorai.013G114200.1	AT1G33110.1	0.0	0.987755102040816	0.983805668016194	686	486	494	0.995884773662551	0.98582995951417	MATE efflux family protein
Gorai.009G114100.1	AT4G24270.2	0.0	0.932038834951456	1.0171358629131	904	831	817	0.942238267148014	0.940024479804162	EMBRYO DEFECTIVE 140
Gorai.009G455400.1	AT5G56290.1	0.0	0.991150442477876	1.01785714285714	1110	741	728	1	1	peroxin 5
Gorai.005G252800.1	AT2G21100.1	1e-89	0.997319034852547	0.994652406417112	258	186	187	1	1	Disease resistance-responsive (dirigent-like protein) family protein
Gorai.007G167100.1	AT2G04880.1	1e-101	0.579775280898876	0.827515400410678	303	403	487	0.640198511166253	0.579055441478439	zinc-dependent activator protein-1
Gorai.009G018600.1	AT2G25570.1	1e-154	0.958333333333333	1	428	288	288	0.958333333333333	0.982638888888889	binding
Gorai.011G054200.1	AT1G53750.1	0.0	1	1	855	426	426	1	1	regulatory particle triple-A 1A
Gorai.006G274400.1	AT5G51300.1	0.0	0.940880503144654	0.977611940298508	951	786	804	0.975826972010178	0.930348258706468	splicing factor-related
Gorai.008G016600.1	AT4G33565.1	1e-52	0.782034346103038	1.06267029972752	173	390	367	0.81025641025641	0.806539509536785	RING/U-box superfamily protein
Gorai.003G047400.1	AT3G06070.1	5e-26	0.639405204460966	0.781456953642384	92.7	118	151	0.728813559322034	0.662251655629139	
Gorai.013G223100.1	AT2G05830.1	0.0	0.96969696969697	1.02941176470588	560	385	374	0.961038961038961	0.983957219251337	NagB/RpiA/CoA transferase-like superfamily protein
Gorai.008G099000.1	AT3G56160.1	1e-155	0.806642941874259	0.93348623853211	439	407	436	0.842751842751843	0.779816513761468	Sodium Bile acid symporter family
Gorai.005G054400.1	AT3G24315.1	1e-149	1	1	417	293	293	1	1	Sec20 family protein
Gorai.009G300000.1	AT4G02550.3	1e-156	0.971246006389776	0.944099378881988	434	304	322	1	0.953416149068323	
Gorai.009G160500.1	AT1G29290.1	1e-19	0.886699507389163	0.897196261682243	75.0	96	107	0.9375	0.906542056074766	
Gorai.013G233800.1	AT2G34160.1	4e-74	0.931297709923664	1.01538461538462	215	132	130	0.924242424242424	0.938461538461538	Alba DNA/RNA-binding protein
Gorai.006G039900.1	AT3G01780.1	0.0	0.991029474583511	0.990646258503401	1974	1165	1176	0.995708154506438	0.994897959183674	ARM repeat superfamily protein
Gorai.011G139500.1	AT5G16020.1	1e-174	0.808575803981623	1.03744149765991	500	665	641	0.793984962406015	0.831513260530421	gamete-expressed 3
Gorai.009G233700.1	AT3G26360.1	3e-37	0.957345971563981	1.08910891089109	120	110	101	1	1	Ribosomal protein S21 family protein
Gorai.004G183900.1	AT4G17940.1	3e-58	0.916512059369202	0.967153284671533	182	265	274	0.932075471698113	0.905109489051095	Tetratricopeptide repeat (TPR)-like superfamily protein
Gorai.003G169000.1	AT1G12260.1	1e-162	0.953125	0.944303797468354	455	373	395	0.981233243967828	1	NAC 007
Gorai.005G179800.1	AT1G10710.1	3e-49	0.608203677510608	0.724390243902439	163	297	410	0.723905723905724	0.534146341463415	poor homologous synapsis 1
Gorai.005G172000.1	AT3G04130.1	0.0	0.982213438735178	0.992125984251969	579	504	508	0.992063492063492	0.978346456692913	Tetratricopeptide repeat (TPR)-like superfamily protein
Gorai.008G019800.1	AT4G33800.1	3e-23	0.862533692722372	1.18235294117647	88.5	201	170	0.810945273631841	0.941176470588235	
Gorai.005G145600.1	AT2G02880.1	1e-128	0.979066022544283	0.977707006369427	363	307	314	0.990228013029316	0.980891719745223	mucin-related
Gorai.003G057400.1	AT5G16680.1	1e-148	0.51003717472119	1.05186880244088	468	1379	1311	0.49746192893401	0.549199084668192	RING/FYVE/PHD zinc finger superfamily protein
Gorai.009G186500.1	AT1G42540.1	0.0	0.981541802388708	0.97427652733119	1297	909	933	0.994499449944995	0.973204715969989	glutamate receptor 3.3
Gorai.002G026400.1	AT2G05620.1	3e-59	0.94980694980695	0.947368421052632	177	126	133	0.976190476190476	0.969924812030075	proton gradient regulation 5
Gorai.011G056900.1	AT1G72430.1	2e-44	0.991596638655462	1	139	119	119	0.991596638655462	0.991596638655462	SAUR-like auxin-responsive protein family
Gorai.007G091500.1	AT3G60850.1	0.0	0.993788819875776	0.987654320987654	926	640	648	1	1	
Gorai.013G249000.1	AT5G19640.1	0.0	0.924606462303231	0.981937602627258	788	598	609	0.948160535117057	0.916256157635468	Major facilitator superfamily protein
Gorai.006G135900.1	AT5G04160.1	0.0	0.98876404494382	1.01618122977346	554	314	309	0.980891719745223	0.996763754045307	Nucleotide-sugar transporter family protein
Gorai.009G418200.1	AT3G01390.1	1e-53	1	1	162	110	110	1	1	vacuolar membrane ATPase 10
Gorai.006G220100.1	AT1G04780.1	0.0	0.981735159817352	0.978915662650602	938	650	664	0.992307692307692	0.990963855421687	Ankyrin repeat family protein
Gorai.002G100500.1	AT5G55820.1	1e-101	0.344127332601537	0.995618838992333	354	1818	1826	0.344884488448845	0.36473165388828	
Gorai.005G185000.1	AT1G70230.1	0.0	0.940628637951106	1.06490384615385	519	443	416	0.948081264108352	0.971153846153846	TRICHOME BIREFRINGENCE-LIKE 27
Gorai.002G209600.1	AT3G06470.1	1e-120	0.952898550724638	0.985611510791367	341	274	278	0.95985401459854	0.974820143884892	GNS1/SUR4 membrane protein family
Gorai.009G442100.1	AT5G55125.1	6e-30	0.773333333333333	0.973684210526316	100	74	76	0.783783783783784	0.763157894736842	Ribosomal protein L31
Gorai.010G011700.1	AT1G47740.1	1e-118	0.918918918918919	0.85663082437276	335	239	279	0.99581589958159	0.878136200716846	PPPDE putative thiol peptidase family protein
Gorai.008G293900.1	AT5G63080.1	0.0	0.953488372093023	1.04761904761905	578	484	462	0.942148760330578	0.976190476190476	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Gorai.004G175500.1	AT1G31420.1	0.0	0.957841483979764	1.00337837837838	929	594	592	0.961279461279461	0.959459459459459	Leucine-rich repeat protein kinase family protein
Gorai.005G080800.1	AT5G42120.1	0.0	0.983248361252731	0.986975397973951	691	682	691	0.989736070381232	0.98986975397974	Concanavalin A-like lectin protein kinase family protein
Gorai.010G153200.1	AT4G21720.1	2e-50	0.728571428571429	1.01438848920863	155	141	139	0.723404255319149	0.733812949640288	
Gorai.005G115600.1	AT1G20950.1	0.0	0.997562956945573	1.00488599348534	1093	617	614	0.9967585089141	1	Phosphofructokinase family protein
Gorai.011G209400.1	AT3G10910.1	3e-68	0.81025641025641	1.15469613259669	204	209	181	0.755980861244019	0.900552486187845	RING/U-box superfamily protein
Gorai.008G005900.1	AT4G02930.1	0.0	1	1	774	454	454	1	1	GTP binding Elongation factor Tu family protein
Gorai.009G202000.1	AT1G19430.1	0.0	0.989648033126294	1.00138121546961	994	725	724	1	0.990331491712707	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Gorai.004G162600.1	AT2G45320.1	0.0	0.959899749373434	1.03571428571429	527	406	392	1	0.977040816326531	
Gorai.001G263100.1	AT3G27830.1	6e-71	0.994736842105263	0.989528795811518	210	189	191	1	1	ribosomal protein L12-A
Gorai.002G123100.1	AT4G24175.1	9e-82	0.980132450331126	0.973856209150327	244	298	306	0.993288590604027	0.986928104575163	
Gorai.006G220600.1	AT2G33100.1	0.0	0.961077844311377	0.934362934362934	1636	968	1036	0.994834710743802	0.952702702702703	cellulose synthase-like D1
Gorai.003G152000.1	AT5G58380.1	0.0	0.915183246073298	0.993736951983299	668	476	479	0.918067226890756	0.945720250521921	SOS3-interacting protein 1
Gorai.006G241800.1	AT4G14750.1	2e-90	0.913730255164034	1.1266149870801	272	436	387	0.979357798165138	0.971576227390181	IQ-domain 19
Gorai.002G228000.1	AT2G41290.1	1e-131	0.981182795698925	0.978723404255319	374	368	376	0.991847826086957	0.99468085106383	strictosidine synthase-like 2
Gorai.013G177900.1	AT1G16560.1	0.0	0.908029197080292	1.00292397660819	527	343	342	0.918367346938776	0.909356725146199	Per1-like family protein
Gorai.001G219300.1	AT2G04790.2	9e-66	0.882175226586103	1.01829268292683	196	167	164	0.874251497005988	0.896341463414634	
Gorai.011G114300.1	AT1G10500.1	5e-82	0.72316384180791	0.966666666666667	238	174	180	0.735632183908046	0.711111111111111	chloroplast-localized ISCA-like protein
Gorai.012G186600.1	AT2G03150.1	1e-117	0.225403817914831	1.03283582089552	384	1384	1340	0.221820809248555	0.23134328358209	ATP/GTP-binding protein family
Gorai.001G199200.1	AT4G35550.1	1e-112	0.955339805825243	0.921641791044776	319	247	268	0.995951417004049	1	WUSCHEL related homeobox 13
Gorai.009G263300.1	AT1G72020.1	7e-41	1	1	129	97	97	1	1	
Gorai.001G173400.1	AT2G45500.1	0.0	0.991786447638604	0.983706720977597	701	483	491	1	1	AAA-type ATPase family protein
Gorai.011G187400.1	AT5G18600.1	6e-59	1	1	175	102	102	1	1	Thioredoxin superfamily protein
Gorai.003G094900.1	AT1G74700.1	1e-169	0.955172413793103	1.07142857142857	468	300	280	0.923333333333333	0.989285714285714	tRNAse Z1
Gorai.010G016200.1	AT2G26510.1	0.0	0.953678474114441	0.998185117967332	798	550	551	0.954545454545455	0.960072595281307	Xanthine/uracil permease family protein
Gorai.012G061500.1	AT3G27960.1	0.0	0.929862617498192	1.08597285067873	878	720	663	0.95	0.969834087481146	Tetratricopeptide repeat (TPR)-like superfamily protein
Gorai.002G087700.1	AT4G27030.1	1e-141	0.971608832807571	0.962848297213622	396	311	323	0.990353697749196	1	fatty acid desaturase A
Gorai.001G083400.1	AT5G37180.1	0.0	0.989234449760766	1	1230	836	836	0.989234449760766	0.995215311004785	sucrose synthase 5
Gorai.008G160500.1	AT1G60780.1	0.0	1	1	846	428	428	1	1	Clathrin adaptor complexes medium subunit family protein
Gorai.006G229000.1	AT2G28480.1	1e-155	0.808877928483354	1.18010752688172	437	439	372	0.747152619589977	0.889784946236559	RNA-binding CRS1 / YhbY (CRM) domain protein
Gorai.006G183800.1	AT3G08970.1	0.0	0.952463267070009	1.02272727272727	630	585	572	0.965811965811966	0.963286713286713	DNAJ heat shock N-terminal domain-containing protein
Gorai.010G023700.1	AT2G23270.1	2e-10	0.457831325301205	2.86046511627907	54.8	246	86	0.313008130081301	0.883720930232558	
Gorai.001G108500.1	AT5G59950.5	2e-87	0.991769547325103	0.983673469387755	256	241	245	1	1	RNA-binding (RRM/RBD/RNP motifs) family protein
Gorai.009G327300.1	AT1G69010.1	1e-120	0.967136150234742	1.05466237942122	344	328	311	0.996951219512195	0.993569131832797	BES1-interacting Myc-like protein 2
