PACid	species	locusName	transcriptName	proteinName	PFAM	PFAM_DEF	PANTHER	PANTHER_DEF	KOG	KOG_DEF	EC	EC_DEF	KEGG	KEGG_DEF	GO	GO_DEF	PATHWAY	PATHWAY_DEF	alias	defLine
PAC:26768026	G. raimondii	Gorai.009G102900	Gorai.009G102900.1	Gorai.009G102900.1	PF15511	PF15511 - Centromere kinetochore component CENP-T histone fold	PTHR10484	PTHR10484 - HISTONE H4	KOG3467	KOG3467 - Histone H4			K11254	K11254 - histone H4	GO:0003677; GO:0005634; GO:0046982; GO:0000786	GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 17) K11254 - histone H4 (H4)
PAC:26802246	G. raimondii	Gorai.005G208600	Gorai.005G208600.1	Gorai.005G208600.1	PF00856	PF00856 - SET domain	PTHR22884; PTHR22884:SF343	PTHR22884 - SET DOMAIN PROTEINS; PTHR22884:SF343 - PROTEIN MET-1, ISOFORM A	KOG1080	KOG1080 - Histone H3 (Lys4) methyltransferase complex, subunit SET1 and related methyltransferases	2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase			GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).				(1 of 1) PTHR22884:SF343 - PROTEIN MET-1, ISOFORM A
PAC:26771319	G. raimondii	Gorai.009G248900	Gorai.009G248900.1	Gorai.009G248900.1	PF00856; PF07496	PF07496 - CW-type Zinc Finger; PF00856 - SET domain	PTHR22884; PTHR22884:SF276	PTHR22884 - SET DOMAIN PROTEINS; PTHR22884:SF276 - HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-36 SPECIFIC	KOG1082	KOG1082 - Histone H3 (Lys9) methyltransferase SUV39H1/Clr4, required for transcriptional silencing	2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase			GO:0005634; GO:0008270; GO:0005515; GO:0018024	GO:0018024 - Catalysis of the reaction: S-adenosyl-L-methionine + histone L-lysine = S-adenosyl-L-homocysteine + histone N6-methyl-L-lysine. The methylation of peptidyl-lysine in histones forms N6-methyl-L-lysine, N6,N6-dimethyl-L-lysine and N6,N6,N6-trimethyl-L-lysine derivatives.; GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.				(1 of 2) PTHR22884:SF276 - HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-36 SPECIFIC
PAC:26806840	G. raimondii	Gorai.011G001400	Gorai.011G001400.1	Gorai.011G001400.1	PF00569; PF08214; PF00628; PF02135	PF00628 - PHD-finger; PF00569 - Zinc finger, ZZ type; PF02135 - TAZ zinc finger; PF08214 - Histone acetylation protein	PTHR13808	PTHR13808 - CBP/P300-RELATED	KOG1778	KOG1778 - CREB binding protein/P300 and related TAZ Zn-finger proteins	2.3.1.48	2.3.1.48 - Histone acetyltransferase	K04498	K04498 - E1A/CREB-binding protein	GO:0005634; GO:0004402; GO:0008270; GO:0005515; GO:0003712; GO:0006355; GO:0016573	GO:0003712 - Interacting selectively and non-covalently with a regulatory transcription factor and also with the basal transcription machinery in order to modulate transcription. Cofactors generally do not bind the template nucleic acid, but rather mediate protein-protein interactions between regulatory transcription factors and the basal transcription machinery.; GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0004402 - Catalysis of the reaction: acetyl-CoA + histone = CoA + acetyl-histone.; GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.; GO:0016573 - The modification of a histone by the addition of an acetyl group.				(1 of 4) K04498 - E1A/CREB-binding protein (EP300, CREBBP, KAT3)
PAC:26778070	G. raimondii	Gorai.007G157100	Gorai.007G157100.1	Gorai.007G157100.1			PTHR22884; PTHR22884:SF299	PTHR22884 - SET DOMAIN PROTEINS; PTHR22884:SF299 - HISTONE-LYSINE N-METHYLTRANSFERASE SUVR5			2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase								(1 of 5) PTHR22884:SF299 - HISTONE-LYSINE N-METHYLTRANSFERASE SUVR5
PAC:26783401	G. raimondii	Gorai.007G168700	Gorai.007G168700.1	Gorai.007G168700.1	PF12047	PF12047 - Cytosine specific DNA methyltransferase replication foci domain	PTHR22884:SF340; PTHR22884	PTHR22884 - SET DOMAIN PROTEINS; PTHR22884:SF340 - HISTONE-LYSINE N-METHYLTRANSFERASE SU(VAR)3-9-RELATED			2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase			GO:0008270; GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.				(1 of 3) PF12047 - Cytosine specific DNA methyltransferase replication foci domain (DNMT1-RFD)
PAC:26783763	G. raimondii	Gorai.007G149600	Gorai.007G149600.1	Gorai.007G149600.1	PF00856; PF10440; PF05033	PF05033 - Pre-SET motif; PF10440 - Ubiquitin-binding WIYLD domain; PF00856 - SET domain	PTHR22884:SF366; PTHR22884	PTHR22884 - SET DOMAIN PROTEINS; PTHR22884:SF366 - SUBFAMILY NOT NAMED	KOG1082	KOG1082 - Histone H3 (Lys9) methyltransferase SUV39H1/Clr4, required for transcriptional silencing	2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase			GO:0005634; GO:0008270; GO:0005515; GO:0034968; GO:0018024	GO:0018024 - Catalysis of the reaction: S-adenosyl-L-methionine + histone L-lysine = S-adenosyl-L-homocysteine + histone N6-methyl-L-lysine. The methylation of peptidyl-lysine in histones forms N6-methyl-L-lysine, N6,N6-dimethyl-L-lysine and N6,N6,N6-trimethyl-L-lysine derivatives.; GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0034968 - The modification of a histone by addition of one or more methyl groups to a lysine residue.; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.				(1 of 2) PTHR22884//PTHR22884:SF366 - SET DOMAIN PROTEINS // SUBFAMILY NOT NAMED
PAC:26760427	G. raimondii	Gorai.010G012100	Gorai.010G012100.1	Gorai.010G012100.1	PF13867	PF13867 - Sin3 binding region of histone deacetylase complex subunit SAP30	PTHR13286:SF6; PTHR13286	PTHR13286 - SAP30; PTHR13286:SF6 - HISTONE DEACETYLASE COMPLEX SUBUNIT SAP30L							GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).				(1 of 3) PTHR13286:SF6 - HISTONE DEACETYLASE COMPLEX SUBUNIT SAP30L
PAC:26784617	G. raimondii	Gorai.007G208200	Gorai.007G208200.1	Gorai.007G208200.1	PF13424	PF13424 - Tetratricopeptide repeat	PTHR15081; PTHR15081:SF1	PTHR15081:SF1 - NUCLEAR AUTOANTIGENIC SPERM PROTEIN; PTHR15081 - NUCLEAR AUTOANTIGENIC SPERM PROTEIN  NASP -RELATED	KOG4563	KOG4563 - Cell cycle-regulated histone H1-binding protein					GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).				(1 of 3) PTHR15081 - NUCLEAR AUTOANTIGENIC SPERM PROTEIN NASP -RELATED
PAC:26759886	G. raimondii	Gorai.010G081400	Gorai.010G081400.1	Gorai.010G081400.1	PF05185	PF05185 - PRMT5 arginine-N-methyltransferase	PTHR11006	PTHR11006 - PROTEIN ARGININE N-METHYLTRANSFERASE			2.1.1.125	2.1.1.125 - Histone-arginine N-methyltransferase	K11434	K11434 - protein arginine N-methyltransferase 1	GO:0008168; GO:0006479	GO:0006479 - The addition of a methyl group to a protein amino acid. A methyl group is derived from methane by the removal of a hydrogen atom.; GO:0008168 - Catalysis of the transfer of a methyl group to an acceptor molecule.				(1 of 3) K11434 - protein arginine N-methyltransferase 1 (PRMT1)
PAC:26791131	G. raimondii	Gorai.013G265800	Gorai.013G265800.1	Gorai.013G265800.1	PF15511	PF15511 - Centromere kinetochore component CENP-T histone fold	PTHR10484	PTHR10484 - HISTONE H4	KOG3467	KOG3467 - Histone H4			K11254	K11254 - histone H4	GO:0003677; GO:0005634; GO:0046982; GO:0000786	GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 17) K11254 - histone H4 (H4)
PAC:26829956	G. raimondii	Gorai.006G192700	Gorai.006G192700.1	Gorai.006G192700.1	PF13923; PF02182; PF00097	PF13923 - Zinc finger, C3HC4 type (RING finger); PF00097 - Zinc finger, C3HC4 type (RING finger); PF02182 - SAD/SRA domain	PTHR14140	PTHR14140 - E3 UBIQUITIN-PROTEIN LIGASE UHRF-RELATED			2.1.1.43	2.1.1.43 - Histone-lysine N-methyltransferase	K10638	K10638 - ""	GO:0008270; GO:0005515; GO:0046872; GO:0042393	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.; GO:0046872 - Interacting selectively and non-covalently with any metal ion.; GO:0042393 - Interacting selectively and non-covalently with a histone, any of a group of water-soluble proteins found in association with the DNA of plant and animal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in nonspecific suppression of gene activity.				(1 of 4) K10638 - E3 ubiquitin-protein ligase UHRF1 [EC:6.3.2.19] (UHRF1, NP95)
PAC:26826440	G. raimondii	Gorai.012G058200	Gorai.012G058200.1	Gorai.012G058200.1	PF08295; PF02671; PF16879	PF02671 - Paired amphipathic helix repeat; PF16879 - C-terminal domain of Sin3a protein; PF08295 - Sin3 family co-repressor	PTHR12346:SF8; PTHR12346	PTHR12346 - SIN3B-RELATED; PTHR12346:SF8 - PAIRED AMPHIPATHIC HELIX PROTEIN SIN3-LIKE 1-RELATED	KOG4204	KOG4204 - Histone deacetylase complex, SIN3 component			K11644	K11644 - paired amphipathic helix protein Sin3a	GO:0006355	GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.				(1 of 5) K11644 - paired amphipathic helix protein Sin3a (SIN3A)
PAC:26784962	G. raimondii	Gorai.007G143000	Gorai.007G143000.1	Gorai.007G143000.1	PF00538	PF00538 - linker histone H1 and H5 family	PTHR11467:SF54; PTHR11467	PTHR11467:SF54 - SUBFAMILY NOT NAMED; PTHR11467 - HISTONE H1/H5	KOG4012	KOG4012 - Histone H1					GO:0003677; GO:0005634; GO:0000786; GO:0006334	GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0003677 - Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).; GO:0006334 - The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA.; GO:0000786 - A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.				(1 of 1) PTHR11467//PTHR11467:SF54 - HISTONE H1/H5 // SUBFAMILY NOT NAMED
PAC:26782662	G. raimondii	Gorai.007G278500	Gorai.007G278500.1	Gorai.007G278500.1			PTHR11467; PTHR11467:SF44	PTHR11467 - HISTONE H1/H5; PTHR11467:SF44 - SUBFAMILY NOT NAMED												(1 of 2) PTHR11467//PTHR11467:SF44 - HISTONE H1/H5 // SUBFAMILY NOT NAMED
PAC:26834194	G. raimondii	Gorai.006G175000	Gorai.006G175000.1	Gorai.006G175000.1	PF16135	PF16135 - TPL-binding domain in jasmonate signalling	PTHR24098; PTHR24098:SF12	PTHR24098:SF12 - ACYL-COA N-ACYLTRANSFERASE WITH RING/FYVE/PHD-TYPE ZINC FINGER DOMAIN-CONTAINING PROTEIN; PTHR24098 - FAMILY NOT NAMED			2.3.1.48	2.3.1.48 - Histone acetyltransferase			GO:0008270; GO:0005515	GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.				(1 of 2) PTHR24098:SF12 - ACYL-COA N-ACYLTRANSFERASE WITH RING/FYVE/PHD-TYPE ZINC FINGER DOMAIN-CONTAINING PROTEIN
PAC:26785813	G. raimondii	Gorai.007G166100	Gorai.007G166100.1	Gorai.007G166100.1	PF00808	PF00808 - Histone-like transcription factor (CBF/NF-Y) and archaeal histone	PTHR11064:SF27; PTHR11064	PTHR11064 - CCAAT-BINDING TRANSCRIPTION FACTOR-RELATED; PTHR11064:SF27 - NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT B-2-RELATED	KOG0869	KOG0869 - CCAAT-binding factor, subunit A (HAP3)					GO:0046982	GO:0046982 - Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.				(1 of 5) PTHR11064:SF27 - NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT B-2-RELATED
PAC:26833096	G. raimondii	Gorai.006G027300	Gorai.006G027300.1	Gorai.006G027300.1	PF08295; PF02671; PF16879	PF02671 - Paired amphipathic helix repeat; PF16879 - C-terminal domain of Sin3a protein; PF08295 - Sin3 family co-repressor	PTHR12346:SF8; PTHR12346	PTHR12346 - SIN3B-RELATED; PTHR12346:SF8 - PAIRED AMPHIPATHIC HELIX PROTEIN SIN3-LIKE 1-RELATED	KOG4204	KOG4204 - Histone deacetylase complex, SIN3 component			K11644	K11644 - paired amphipathic helix protein Sin3a	GO:0006355	GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.				(1 of 5) K11644 - paired amphipathic helix protein Sin3a (SIN3A)
PAC:26760639	G. raimondii	Gorai.010G222100	Gorai.010G222100.1	Gorai.010G222100.1	PF08214; PF00628; PF02135	PF00628 - PHD-finger; PF02135 - TAZ zinc finger; PF08214 - Histone acetylation protein	PTHR13808	PTHR13808 - CBP/P300-RELATED	KOG1778	KOG1778 - CREB binding protein/P300 and related TAZ Zn-finger proteins	2.3.1.48	2.3.1.48 - Histone acetyltransferase	K04498	K04498 - E1A/CREB-binding protein	GO:0005634; GO:0004402; GO:0008270; GO:0005515; GO:0003712; GO:0006355; GO:0016573	GO:0003712 - Interacting selectively and non-covalently with a regulatory transcription factor and also with the basal transcription machinery in order to modulate transcription. Cofactors generally do not bind the template nucleic acid, but rather mediate protein-protein interactions between regulatory transcription factors and the basal transcription machinery.; GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0004402 - Catalysis of the reaction: acetyl-CoA + histone = CoA + acetyl-histone.; GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.; GO:0016573 - The modification of a histone by the addition of an acetyl group.				(1 of 1) PF00628//PF02135//PF08214 - PHD-finger (PHD) // TAZ zinc finger (zf-TAZ)  // Histone acetylation protein (HAT_KAT11)
PAC:26763900	G. raimondii	Gorai.009G242400	Gorai.009G242400.1	Gorai.009G242400.1	PF11717; PF01853	PF11717 - RNA binding activity-knot of a chromodomain; PF01853 - MOZ/SAS family	PTHR10615; PTHR10615:SF103	PTHR10615:SF103 - MYST-LIKE HISTONE ACETYLTRANSFERASE 1-RELATED; PTHR10615 - HISTONE ACETYLTRANSFERASE	KOG2747	KOG2747 - Histone acetyltransferase (MYST family)	2.3.1.48	2.3.1.48 - Histone acetyltransferase	K11308	K11308 - ""	GO:0016747; GO:0006355	GO:0016747 - Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor).; GO:0006355 - Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.				(1 of 2) K11308 - histone acetyltransferase MYST1 [EC:2.3.1.48] (MYST1, MOF, KAT8)
PAC:26805791	G. raimondii	Gorai.005G039000	Gorai.005G039000.1	Gorai.005G039000.1	PF12998	PF12998 - Inhibitor of growth proteins N-terminal histone-binding	PTHR10333	PTHR10333 - INHIBITOR OF GROWTH PROTEIN	KOG1973	KOG1973 - Chromatin remodeling protein, contains PHD Zn-finger			K11346	K11346 - ""	GO:0005525; GO:0016568; GO:0005634; GO:0008270; GO:0005515; GO:0003924	GO:0016568 - The alteration of DNA, protein, or sometimes RNA, in chromatin, which may result in changing the chromatin structure.; GO:0003924 - Catalysis of the reaction: GTP + H2O = GDP + phosphate.; GO:0005515 - Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).; GO:0005634 - A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.; GO:0005525 - Interacting selectively and non-covalently with GTP, guanosine triphosphate.; GO:0008270 - Interacting selectively and non-covalently with zinc (Zn) ions.				(1 of 3) K11346 - inhibitor of growth protein 4 (ING4)
